mark,fuel,vol_engine,year,mileage,price
0,1,1364,2007,130000,14500
0,1,1364,2009,135000,15900
0,1,1598,2007,155000,13900
0,1,1598,2008,204000,15900
0,0,1686,2008,229477,9800
0,0,1686,2011,173000,12900
0,0,1910,2008,157640,14900
0,1,1598,2007,218000,11900
0,1,1598,2007,130000,16900
0,1,1796,2007,234331,13900
0,0,1686,2009,251097,11000
0,0,1686,2014,237142,12900
0,1,1598,2009,208817,15900
0,1,1598,2007,160930,14900
0,0,1686,2009,244035,12900
0,1,1598,2008,150511,15500
0,0,1686,2011,237000,12000
0,1,1364,2008,210000,12900
0,1,1364,2007,181000,10800
0,0,1910,2008,181000,15800
0,1,1364,2008,175450,11100
0,0,1910,2007,195900,12500
0,1,1364,2014,106760,41900
0,1,1398,2011,89987,29500
0,1,1398,2015,42738,41900
0,1,1398,2012,157000,24500
0,1,1364,2011,51430,37900
0,1,1364,2015,169000,33999
0,1,1598,2015,114082,37900
0,1,1998,2013,149000,57900
0,0,1598,2016,147000,47900
0,1,1364,2012,69636,36900
0,1,1364,2011,125585,41900
0,1,1399,2018,121689,54900
0,1,1364,2011,134693,31900
0,1,1364,2015,107000,38900
0,0,1686,2010,140200,24600
0,1,1364,2011,63902,38500
0,0,1686,2014,228500,22900
0,1,1598,2015,18100,58500
0,0,1598,2015,232000,30500
0,1,1364,2015,90178,39900
0,0,1956,2013,221000,28900
0,1,1364,2014,92228,38900
0,1,1364,2013,111640,38900
0,1,1364,2011,128688,35800
0,1,1364,2010,171000,23900
0,0,1956,2013,178000,41900
0,1,1364,2013,100802,34900
0,1,1399,2015,124770,48900
0,1,1364,2012,116000,38900
0,1,1399,2015,99422,53900
0,1,1398,2011,185000,19800
0,1,1364,2014,106760,41900
0,1,1398,2011,89987,29500
0,1,1398,2015,42738,41900
0,1,1398,2012,157000,24500
0,1,1364,2011,51430,37900
0,1,1364,2015,169000,33999
0,1,1598,2015,114082,37900
0,1,1998,2013,149000,57900
0,0,1598,2016,147000,47900
0,1,1364,2012,69636,36900
0,1,1364,2011,125585,41900
0,1,1399,2018,121689,54900
0,1,1364,2011,134693,31900
0,1,1364,2015,107000,38900
0,0,1686,2010,140200,24600
0,1,1364,2011,63902,38500
0,0,1686,2014,228500,22900
0,1,1598,2015,18100,58500
0,0,1598,2015,232000,30500
0,1,1364,2015,90178,39900
0,0,1956,2013,221000,28900
0,1,1364,2014,92228,38900
0,1,1364,2013,111640,38900
0,1,1364,2011,128688,35800
0,1,1364,2010,171000,23900
0,0,1956,2013,178000,41900
0,1,1364,2013,100802,34900
0,1,1399,2015,124770,48900
0,1,1364,2012,116000,38900
0,1,1399,2015,99422,53900
0,1,1398,2011,185000,19800
0,1,1598,2015,87415,43500
0,0,1956,2013,246000,28900
0,0,1956,2010,232000,20900
0,1,1598,2013,86250,35000
0,1,1598,2010,100000,29700
0,1,1364,2011,175000,28900
